Item.no,ItemNo,Target
1,C01,প্রতিটক
2,C02,দুর্ভিন্ন
3,C03,দুর্মৃত
4,C04,প্রতিভালো
5,C05,প্রতিলাল
6,C06,প্রতিদূর
7,C07,দুর্শক্ত
8,C08,দুঃসম্ভব
9,C09,দুঃশান্ত
10,C10,দুর্বৃদ্ধ
11,C11,প্রতিদীর্ঘ
12,C12,দুর্মুখ্য
13,C13,দুর্বাসি
14,C14,প্রতিবাস্তব
15,C15,দুঃসহজ
16,C16,প্রতিমহান
17,C17,দুঃশুভ
18,C18,দুঃসুন্দর
19,C19,প্রতিদ্রুত
20,C20,প্রতিধীর
21,C21,প্রতিসুস্থ
22,C22,প্রতিনীল
23,C23,দুঃখারাপ
24,C24,প্রতিগভীর
25,C25,দুঃকালো
26,C26,প্রতিগরম
27,C27,প্রতিসঠিক
28,C28,দুঃকঠিন
29,C29,দুর্সতর্ক
30,C30,দুঃসাদা
31,C31,প্রতিতীব্র
32,C32,প্রতিখালি
33,C33,দুঃসামান্য
34,C34,প্রতিসবুজ
35,C35,দুর্পুরনো
36,C36,প্রতিসক্ষম
37,C37,প্রতিরাজী
38,C38,প্রতিমোটা
39,C39,প্রতিপচা
40,C40,প্রতিলম্বা
41,C41,দুর্বিখ্যাত
42,C42,দুর্ভদ্র
43,C43,প্রতিউজ্জ্বল
44,C44,প্রতিভারী
45,C45,দুঃহালকা
46,C46,প্রতিদৃঢ়
47,C47,প্রতিউঁচু
48,C48,প্রতিঝাল
49,C49,প্রতিনীরব
50,C50,দুঃক্লান্ত
51,C51,প্রতিসরু
52,C52,দুঃসমগ্র
53,C53,দুর্ঠাণ্ডা
54,C54,দুর্মেধাবী
55,C55,দুঃসংক্ষিপ্ত
56,C56,দুর্পুরাতন
57,C57,প্রতিবোকা
58,C58,দুর্নগ্ন
59,C59,দুঃশুকনো
60,C60,দুঃসস্তা
61,C61,প্রতিনোংরা
62,C62,দুঃউদ্বিগ্ন
63,C63,প্রতিতাজা
64,C64,প্রতিভিজা
65,C65,দুর্ধারালো
66,C66,দুর্পাতলা
67,C67,দুর্তরল
68,C68,প্রতিখাড়া
69,C69,প্রতিরুক্ষ
70,C70,দুর্মসৃণ
71,C71,দুর্মিঠা
72,C72,প্রতিঅলস
73,C73,দুর্ধলা
74,C74,প্রতিভোঁতা
75,C75,দুর্স্পষ্ঠ
76,C76,প্রতিবিষাল
77,F01,বাবাকে
78,F02,কাঠের
79,F03,মাংসের
80,F04,মানুষজন
81,F05,ঘরবাড়ি
82,F06,বইগুলি
83,F07,শালগুলো
84,F08,শিশুদের
85,F09,উটপাখি
86,F10,কৃষিজমি
87,F11,গাছপালা
88,F12,পুরুষকে
89,F13,কাকের
90,F14,তীরগুলো
91,F15,শিলাবৃষ্টি
92,F16,হাড়ের
93,F17,কলাগুলো
94,F18,মাছরাঙা
95,F19,পাহাড়ের
96,F20,খাদ্যশস্য
97,F21,দরজাটা
98,F22,কাগজপত্র
99,F23,পশুপাখি
100,F24,বুদ্ধমূর্তি
101,F25,হৃদয়ের
102,F26,পতাকাগুলি
103,F27,লাঠিসোঁটা
104,F28,ঘড়িতে
105,F29,কাঁধের
106,F30,লবণের
107,F31,বারান্দায়
108,F32,পুতুলের
109,F33,আয়নায়
110,F34,খুরের
111,F35,উদ্ভিদের
112,F36,তিমিগুলি
113,F37,বাঁশির
114,F38,মুকুটের
115,F39,খাঁচায়
116,F40,বড়িগুলো
117,F41,কোলবালিশ
118,F42,জলকামান
119,F43,মটরশুঁটি
120,F44,সাবানের
121,F45,সারসগুলি
122,F46,থালাবাসন
123,F47,খড়িমাটি
124,F48,প্রজাপতি
125,F49,মাখনের
126,F50,ঝর্ণাধারা
127,F51,কচ্ছপের
128,F52,পান্নাগুলো
129,F53,বোতামের
130,F54,রুমালগুলি
131,F55,ঝুড়িতে
132,F56,গাজরগুলো
133,F57,আনারসটা
134,F58,কাঁকড়াগুলি
135,F59,চিতাবাঘ
136,F60,ষাঁড়গুলো
137,F61,শসাগুলো
138,F62,বালতিগুলো
139,F63,হাতুড়িটা
140,F64,গোড়ালির
141,F65,কাঁথাগুলো
142,F66,পেঁচাগুলি
143,F67,ঝিনুকের
144,F68,কনুইটি
145,F69,মাকড়সাটা
146,F70,ঝাড়ুগুলি
147,F71,চোয়ালের
148,F72,দারুচিনির
149,F73,পেরেকটি
150,F74,বাছুরের
151,F75,মৌচাকের
152,F76,কৃমিগুলো
153,F77,আঙ্গুরগুলি
154,F78,পিঁপড়াটা
155,F79,গেলাসগুলো
156,F80,খরগোশগুলো
157,F81,কলিজার
158,F82,শূকরছানা
159,F83,গঙ্গাফড়িং
160,F84,চড়ুইদের
161,F85,কুঠারগুলো
162,F86,থুতনির
163,F87,আখরোটগুলো
164,F88,হাঙ্গরগুলো
165,F89,দস্তানাগুলি
166,F90,নাশপাতিটা
167,F91,শুঁয়াপোকা
168,F92,পোষাকগুলি
169,G01,দুর্নাম
170,G02,দুর্ঘটনা
171,G03,প্রতিপক্ষ
172,G04,প্রতিদান
173,G05,প্রতিরোধ
174,G06,দুরবস্থা
175,G07,দুর্নীতি
176,G08,প্রতিকল্প
177,G09,প্রতিক্রম
178,G10,দুর্ব্যবহার
179,G11,দুষ্কার্য
180,G12,প্রতিপ্রশ্ন
181,G13,দুশ্চেষ্টা
182,G14,প্রতিগ্রহণ
183,G15,দুঃসংবাদ
184,G16,প্রতিরূপ
185,G17,প্রতিযুদ্ধ
186,G18,দুঃশাসন
187,G19,প্রতিবোধ
188,G20,প্রতিপণ
189,G21,দুরাশা
190,G22,প্রতিরক্ষা
191,G23,প্রতিলাভ
192,G24,প্রতিপালন
193,G25,দুর্গতি
194,G26,প্রতিরুপ
195,G27,প্রতিঘাত
196,G28,প্রতিবর্তন
197,G29,দুর্মতি
198,G30,প্রতিবিধান
199,G31,প্রতিপ্রভা
200,G32,প্রতিশব্দ
